Survived,Pclass,Sex,Age,SibSp,Parch,Fare,FamilySize,IsAlone,FarePerPerson,Embarked_Q,Embarked_S,AgeGroup_Teen,AgeGroup_YoungAdult,AgeGroup_Adult,AgeGroup_Senior
0,3,0,22.0,1,0,7.25,2,0,3.625,False,True,False,True,False,False
1,1,1,38.0,1,0,71.2833,2,0,35.64165,False,False,False,False,True,False
1,3,1,26.0,0,0,7.925,1,1,7.925,False,True,False,True,False,False
1,1,1,35.0,1,0,53.1,2,0,26.55,False,True,False,True,False,False
0,3,0,35.0,0,0,8.05,1,1,8.05,False,True,False,True,False,False
0,3,0,25.0,0,0,8.4583,1,1,8.4583,True,False,False,True,False,False
0,1,0,54.0,0,0,51.8625,1,1,51.8625,False,True,False,False,True,False
0,3,0,2.0,3,1,21.075,5,0,4.215,False,True,False,False,False,False
1,3,1,27.0,0,2,11.1333,3,0,3.7111,False,True,False,True,False,False
1,2,1,14.0,1,0,30.0708,2,0,15.0354,False,False,True,False,False,False
1,3,1,4.0,1,1,16.7,3,0,5.566666666666666,False,True,False,False,False,False
1,1,1,58.0,0,0,26.55,1,1,26.55,False,True,False,False,True,False
0,3,0,20.0,0,0,8.05,1,1,8.05,False,True,False,True,False,False
0,3,0,39.0,1,5,31.275,7,0,4.4678571428571425,False,True,False,False,True,False
0,3,1,14.0,0,0,7.8542,1,1,7.8542,False,True,True,False,False,False
1,2,1,55.0,0,0,16.0,1,1,16.0,False,True,False,False,True,False
0,3,0,2.0,4,1,29.125,6,0,4.854166666666667,True,False,False,False,False,False
1,2,0,30.0,0,0,13.0,1,1,13.0,False,True,False,True,False,False
0,3,1,31.0,1,0,18.0,2,0,9.0,False,True,False,True,False,False
1,3,1,21.5,0,0,7.225,1,1,7.225,False,False,False,True,False,False
0,2,0,35.0,0,0,26.0,1,1,26.0,False,True,False,True,False,False
1,2,0,34.0,0,0,13.0,1,1,13.0,False,True,False,True,False,False
1,3,1,15.0,0,0,8.0292,1,1,8.0292,True,False,True,False,False,False
1,1,0,28.0,0,0,35.5,1,1,35.5,False,True,False,True,False,False
0,3,1,8.0,3,1,21.075,5,0,4.215,False,True,False,False,False,False
1,3,1,38.0,1,5,31.3875,7,0,4.483928571428572,False,True,False,False,True,False
0,3,0,25.0,0,0,7.225,1,1,7.225,False,False,False,True,False,False
0,1,0,19.0,3,2,263.0,6,0,43.833333333333336,False,True,False,True,False,False
1,3,1,21.5,0,0,7.8792,1,1,7.8792,True,False,False,True,False,False
